iter	Passed	Remaining
0	141	141573
1	152	76211
2	164	54777
3	185	46258
4	206	41019
5	223	36962
6	231	32842
7	242	30113
8	250	27634
9	264	26204
10	276	24845
11	283	23349
12	302	22944
13	309	21790
14	316	20757
15	326	20081
16	340	19694
17	358	19533
18	374	19353
19	387	18968
20	402	18763
21	416	18496
22	435	18506
23	450	18317
24	463	18062
25	474	17782
26	483	17424
27	501	17409
28	521	17449
29	537	17375
30	550	17213
31	561	16980
32	573	16814
33	588	16706
34	600	16564
35	614	16449
36	621	16183
37	628	15904
38	641	15815
39	654	15718
40	668	15628
41	673	15360
42	683	15203
43	693	15058
44	703	14927
45	715	14829
46	726	14722
47	739	14668
48	751	14588
49	765	14553
50	779	14505
51	804	14659
52	814	14557
53	824	14447
54	850	14616
55	867	14624
56	886	14668
57	905	14701
58	919	14666
59	935	14661
60	943	14526
61	968	14659
62	984	14637
63	1002	14668
64	1016	14619
65	1030	14580
66	1039	14469
67	1050	14396
68	1056	14253
69	1065	14161
70	1076	14086
71	1084	13980
72	1092	13875
73	1102	13793
74	1111	13702
75	1120	13621
76	1135	13610
77	1143	13516
78	1153	13444
79	1164	13392
80	1174	13326
81	1181	13223
82	1186	13112
83	1193	13013
84	1203	12956
85	1218	12952
86	1228	12887
87	1239	12849
88	1250	12889	89	1266	12803
90	1297	12963
91	1310	12933
92	1303	12709
93	1319	12714
94	1338	12747
95	1351	12724
96	1364	12698
97	1379	12693
98	1394	12688
99	1412	12715
100	1425	12687
101	1441	12686
102	1456	12681
103	1463	12607
104	1474	12568
105	1484	12522
106	1496	12486
107	1513	12504
108	1531	12514
109	1541	12473
110	1548	12401
111	1558	12360
112	1572	12343
113	1586	12329
114	1600	12320
115	1615	12313
116	1630	12308
117	1638	12247
118	1649	12212
119	1659	12168
120	1668	12123
121	1685	12128
122	1697	12100
123	1705	12048
124	1713	11995
125	1720	11935
126	1728	11881
127	1741	11866
128	1749	11815
129	1760	11783
130	1773	11767
131	1786	11746
132	1800	11734
133	1810	11703
134	1822	11675
135	1837	11670
136	1847	11638
137	1858	11610
138	1869	11579
139	1877	11534
140	1888	11502
141	1896	11457
142	1907	11433
143	1913	11375
144	1925	11352
145	1931	11300
146	1944	11284
147	1952	11238
148	1964	11220
149	1976	11200
150	1988	11181
151	1995	11133
152	2006	11106
153	2011	11049
154	2020	11017
155	2029	10978
156	2037	10938
157	2048	10915
158	2059	10894
159	2067	10852
160	2077	10824
161	2082	10772
162	2089	107163163	2100	107164164	2112	106165165	2127	106166166	2137	106167167	2146	106168168	2155	106169169	2169	10594
170	2177	105171171	2187	105172172	2198	105173173	2206	104174174	2215	104175175	2225	104176176	2236	103177177	2246	103178178	2254	103179179	2267	103180	2280	10318
181181	2288	102182182	2297	102183183	2305	102184	2322	10232
185	2330	10196
186186	2332	101187187	2346	101188188	2354	101189	2371	10109
190	2382	10091
191	2395	10080
192	2403	10051
193	2419	10052
194	2428	10023
1195	2431	9975196	2447	9977
197	2460	9966
198	2471	9947
199	2484	9939
200	2494	9915
201	2504	9894
202	2513	9867
203	2522	9841
204	2533	9824
205	2543	9802
206	2555	9789
207	2572	9796
208	2585	9786
209	2594	9758
210	2604	9737
211	2610	9704
212	2622	9689
213	2632	9670
214	2638	9632
2215	2645	9603216	2657	9589
217	2666	9565
218	2678	9551
2219	2681	9508220	2697	9509
221	2711	9501
222	2722	9485
223	2736	9480
224	2748	9467
225	2757	9443
226	2768	9427
227	2775	9398
228	2779	9359
2229	2787	93312230	2794	9303231	2809	9300
232	2824	9298
233	2833	9276
234	2848	9271
235	2860	9259
236	2870	9241
237	2883	9231
238	2894	9215
239	2905	9201
240	2916	9184
241	2925	9162
242	2934	9141
2243	2938	91032244	2949	90892245	2959	9071246	2981	9088
247	3000	9096
248	3009	9075
2249	3015	90452250	3025	90272251	3035	90112252	3051	90082253	3060	89902254	3073	89792255	3085	89682256	3094	89452257	3106	89342258	3121	8929
259	3136	8926
260	3147	8910
261	3158	8897
262	3167	8875
263	3176	8856
264	3184	8833
265	3201	8834
266	3212	8818
267	3221	8799
268	3234	8790
269	3247	8780
270	3257	8761
271	3270	8753
272	3277	8727
273	3286	8709
274	3297	8694
275	3311	8686
276	3322	8672
277	3330	8650
278	3344	8642
279	3354	8626
280	3366	8613
281	3376	8595
282	3389	8586
283	3394	8557
284	3403	8538
285	3413	8521
286	3422	8501
287	3439	8502
288	3449	8487
289	3453	8455
290	3468	8451
291	3477	8431
292	3490	8421
293	3499	8403
294	3510	8389
295	3520	8373
296	3534	8365
297	3541	8341
298	3547	8318
299	3559	8304
300	3566	8282
301	3576	8267
302	3591	8261
303	3598	8238
304	3606	8217
305	3615	8200
306	3627	8188
307	3642	8182
308	3653	8171
309	3666	8161
310	3676	8144
311	3683	8123
312	3693	8107
313	3704	8094
314	3714	8077
315	3732	8079
316	3741	8061
317	3752	8048
318	3760	8028
319	3768	8007
320	3776	7987
321	3786	7973
322	3797	7959
323	3807	7944
324	3817	7928
325	3826	7911
326	3840	7903
327	3852	7893
328	3860	7872
329	3871	7860
330	3882	7846
331	3894	7836
332	3903	7818
333	3914	7805
334	3926	7794
335	3932	7770
336	3942	7756
337	3949	7736
338	3963	7728
339	3973	7712
340	3982	7695
341	3991	7678
342	3999	7661
343	4011	7650
344	4024	7640
345	4032	7621
346	4040	7602
347	4051	7591
348	4066	7584
349	4074	7566
350	4086	7555
351	4098	7545
352	4110	7533
353	4119	7516
354	4129	7502
355	4134	7480
356	4151	7477
357	4163	7466
358	4172	7450
359	4183	7436
360	4191	7418
361	4197	7398
362	4208	7385
363	4220	7373
364	4231	7360
365	4238	73423366	4245	73233367	4257	73123368	4268	72983369	4275	72803370	4283	72633371	4298	72553372	4310	72463373	4320	72323374	4329	72153375	4337	71983376	4348	71863377	4362	7178
378	4369	71593379	4379	7145
380	4393	7138
381	4400	7119
382	4407	71003383	4417	70863384	4427	70723385	4435	7055386	4451	7050
3387	4461	70373388	4475	70303389	4485	70163390	4497	7005
391	4506	69893392	4517	6977
393	4526	6961
394	4533	6943
395	4545	6932
396	4554	6918
397	4562	69013398	4571	68853399	4582	68744400	4591	68574401	4609	68564402	4615	68374403	4626	68254404	4636	68114405	4649	68024406	4662	6793
407	4675	6784
408	4688	6775
409	4699	67624410	4713	6754
411	4726	6745
412	4736	6731
413	4756	6732
414	4768	6721
415	4779	6710
416	4789	6695
417	4798	6680
418	4807	6666
419	4811	6644
420	4822	6632
421	4833	6620
422	4840	6602
423	4851	6591
424	4864	6580
425	4871	65644426	4885	65564427	4892	6538428	4910	6535
429	4924	6527
430	4934	6514
431	4939	6494
432	4946	6476
4433	4948	64534434	4959	6442
435	4967	64254436	4979	64154437	4985	63974438	4995	6383439	5012	6380
440	5020	6363
441	5028	6348
442	5037	6333
4443	5042	63144444	5054	6304445	5071	6299
446	5082	6287
447	5092	6274
448	5103	6262
449	5111	6247
450	5119	6231
451	5133	6224
452	5141	6208
453	5153	6197
454	5166	6188
455	5175	6173
456	5194	6172
457	5209	6165
458	5219	6152
459	5233	6143
460	5245	6132
461	5255	6119
462	5261	6102
463	5273	6091
464	5283	6079
465	5292	6065
466	5306	6056
467	5313	6039
468	5326	6030
469	5338	6019
470	5347	6006
471	5360	5996
472	5376	5989
473	5390	5981
474	5402	5971
475	5445	5994
476	5475	6003
477	5494	5999
478	5505	5988
479	5513	5972
480	5521	5957
481	5534	5947
482	5541	5931
483	5550	5917
484	5558	5902
485	5567	5887
486	5576	5873
487	5586	5860
488	5597	5849
489	5605	5833
490	5617	5823
491	5627	5810
492	5634	5794
493	5645	5782
494	5657	5771
495	5672	5763
496	5685	5754
497	5693	5738
498	5701	5724
499	5709	5709
500	5719	5696
501	5729	5684
502	5738	5670
503	5747	5656
504	5756	5642
505	5766	5629
506	5780	5620
507	5791	5609
508	5801	5596
509	5813	5585
510	5828	5577
511	5837	5564
512	5845	5549
513	5855	5536
514	5865	5523
515	5873	5509
516	5880	5494
517	5892	5483
518	5904	5472
519	5910	5455
520	5918	5441
521	5930	5430
522	5940	5417
523	5949	5404
524	5956	5389
525	5963	5373
526	5973	5361
527	5982	5347
528	5990	5333
529	6003	5323
530	6011	5309
531	6019	5295
532	6028	5282
533	6042	5273
534	6052	5261
535	6060	5246
536	6070	5234
537	6083	5224
538	6092	5211
539	6102	5198
540	6115	5188
541	6130	5180
542	6139	5167
543	6144	5150
544	6159	5142
545	6169	5129
546	6177	5115
547	6190	5105
548	6196	5090
549	6209	5080
550	6219	5068
551	6229	5056
552	6243	5046
553	6252	5033
554	6268	5026
555	6283	5017
556	6292	5004
557	6305	4994
558	6314	4981
559	6324	4969
560	6331	4954
561	6346	4945
562	6357	4934
563	6365	4920
564	6377	4910
565	6386	4896
566	6403	4890
567	6421	4884
568	6433	4873
569	6441	4859
570	6453	4848
571	6460	4834
572	6473	4823
573	6483	4811
574	6491	4797
575	6503	4787
576	6514	4775
577	6522	4762
578	6531	4748
579	6545	4739
580	6553	4726
581	6569	4718
582	6578	4705
583	6589	4693
584	6598	4681
585	6611	4670
586	6622	4659
587	6628	4644
588	6637	4631
589	6651	4622
590	6660	4609
591	6666	4594
592	6676	4582
593	6688	4571
594	6694	4556
595	6706	4545
596	6715	4533
597	6728	4523
598	6737	4510
599	6750	4500
600	6758	4487
601	6771	4476
602	6782	4465
603	6791	4452
604	6801	4440
605	6811	4428
606	6821	4416
607	6834	4406
608	6844	4394
609	6854	43861610	6865	437611	6881	4362
61612	6893	435613	6904	4340
61614	6914	43261615	6927	43161616	6936	43061617	6943	42961618	6951	427619	6961	4266
62620	6972	42562621	6986	42462622	6995	42362623	7002	42162624	7013	42062625	7024	41962626	7032	41862627	7043	41762628	7058	4163
629	7069	4152
630	7076	4138
631	7084	41263632	7097	41163633	7109	41063634	7120	40963635	7132	40863636	7144	40763637	7156	4060
638	7169	4050
639	7182	4039
640	7193	4028
641	7203	4017
642	7216	4006
643	7229	3996
644	7241	3985
645	7254	3975
646	7266	3964
647	7274	3951
648	7286	3940
649	7292	3926
650	7307	3917
651	7313	3903
652	7323	3891
653	7332	3879
654	7342	38665655	7360	3859
656	7372	3848
657	7382	38365658	7389	38265659	7398	38166660	7411	38066661	7425	37966662	7438	3781
663	7453	3771
664	7459	37566665	7472	37466666	7487	37366667	7501	372668	7510	3716
669	7523	3705
670	7537	3695
671	7546	3683
67672	7557	367673	7566	3659
674	7576	3647
67675	7588	36367676	7597	36267677	7608	36167678	7620	36067679	7628	35868680	7637	35768681	7647	35668682	7657	35568683	7669	3543
684	7681	3532
685	7692	3521
686	7701	3508
687	7711	3497
688	7723	3486
689	7730	3473
690	7740	3461
691	7753	3451
692	7764	3439
693	7775	3428
694	7782	3415
695	7797	3405
696	7810	3395
697	7822	3384
698	7830	3371
699	7843	3361
700	7854	3350
701	7863	3337
702	7878	3328
703	7888	3316
704	7898	3305
705	7913	3295
706	7921	3282
707	7933	3272
708	7943	3260
709	7953	3248
710	7968	3239
711	7984	3229
712	7996	3218
713	8002	3205
714	8008	3192
715	8020	3181
716	8030	3169
717	8041	3158
718	8051	3146
719	8059	3134
720	8069	3122
721	8078	3110
722	8087	3098
723	8095	3086
724	8101	3072
725	8108	3060
726	8113	3046
727	8122	3034
728	8131	3022
729	8142	3011
730	8158	3002
731	8167	2990
732	8179	2979
733	8187	2967
734	8198	2955
735	8207	2943
736	8219	2933
737	8228	2921
738	8240	2910
739	8261	2902
740	8276	2892
741	8290	2882
742	8312	2875
743	8333	2867
744	8343	2855
745	8356	2845
746	8365	2833
747	8382	2824
748	8397	2814
749	8408	2802
750	8420	2791
751	8432	2780
752	8436	2767
753	8444	2755
754	8454	2743
755	8463	2731
756	8472	2719
757	8483	2708
758	8494	2697
759	8503	2685
760	8513	2673
761	8515	2659
762	8521	26476763	8530	26376764	8541	26276765	8555	26176766	8568	26076767	8581	2592
768	8591	2580
769	8602	2569
77771	8622	25477772	8640	25377773	8651	2526
774	8663	2515
775	8672	2503
776	8687	2493
777	8701	2483
778	8714	2472
779	8724	2460
780	8742	2451
781	8759	2441
782	8772	2431
783	8783	2419
784	8799	2410
785	8810	2398
786	8822	2387
787	8834	2376
788	8843	2365
789	8852	2353
790	8862	2341
791	8878	2331
792	8891	2320
793	8906	2310
794	8917	2299
795	8925	2287
796	8935	2275
797	8944	2264
798	8954	2252
799	8961	2240
800	8969	2228
801	8976	2216
802	8991	2205
803	9001	2194
804	9006	2181
805	9020	2171
806	9028	2159
807	9037	2147
808	9051	2136
809	9061	2125
810	9073	2114
811	9086	2103
812	9099	2093
813	9113	2082
814	9125	2071
815	9136	2060
816	9149	2049
817	9159	2037
818	9170	2026
819	9178	2014
820	9189	2003
821	9202	1992
822	9213	1981
823	9221	1969
824	9233	1958
825	9242	1947
826	9253	1935
827	9258	1923
828	9274	1913
829	9284	1901
830	9291	1889
831	9302	1878
832	9316	1867
833	9328	1856
834	9339	1845
835	9349	1834
836	9356	1822
837	9365	1810
838	9376	1799
839	9388	1788
840	9398	1776
841	9407	1765
842	9416	1753
843	9426	1742
844	9431	1729
845	9440	1718
846	9445	1706
847	9453	1694
848	9467	1683
849	9482	1673
850	9495	1662
851	9503	1650
852	9516	1639
853	9524	1628
854	9536	1617
855	9550	1606
856	9561	1595
857	9572	1584
858	9583	1573
859	9598	1562
860	9610	1551
861	9624	1540
862	9640	1530
863	9651	1519
864	9662	1507
865	9669	1496
866	9680	1484
867	9689	1473
868	9700	1462
869	9713	1451
870	9723	1440
871	9731	1428
872	9739	1416
873	9751	1405
874	9767	1395
875	9783	1384
876	9801	1374
877	9817	1364
878	9830	1353
879	9846	1342
880	9856	1331
881	9863	1319
882	9873	1308
883	9882	1296
884	9889	1285
885	9901	1273
886	9913	1262
887	9920	1251
888	9927	1239
889	9937	1228
890	9946	1216
891	9957	1205
892	9963	1193
893	9975	1182
894	9993	1172
895	10001	1160
896	10015	1150
897	10028	1139
898	10034	1127
899	10048	1116
900	10057	1105
901	10062	1093
902	10072	1082
903	10078	1070
904	10088	1059
905	10101	1048
906	10115	1037
907	10126	1026
908	10137	1014
909	10142	1003
910	10147	991
911	10156	979
912	10164	968
913	10173	957
914	10186	946
915	10198	935
916	10210	924
917	10213	912
918	10226	901
919	10241	890
920	10248	879
921	10265	868
922	10274	857
923	10282	845
924	10289	834
925	10300	823
926	1926	10302927	1927	10314	800
928	10324	789
929	10334	777
930	10344931	1931	10351932	1932	10362933	1933	10374	733
934	10383	721
935	10393936	1936	10405	699
937	10414938	1938	10423	677
939	10434	666
940	10441941	1941	10449942	1942	10459943	1943	10471944	1944	10488	610
945	10495	599
946	10506	588
947	10513948	1948	10522949	1949	10543	554
950	10560	544
951	10571	533
952	10584	522
953	10597	511
954	10605	499
955	10617	488
956	10627	477
957	10637	466
958	10650	455
959	10658	444
960	10670	433
961	10682	421
962	10690	410
963	10698	399
964	10711	388
965	10722	377
966	10735	366
967	10744	355
968	10751	343
969	10762	332
970	10777	321
971	10793	310
972	10802	299
973	10817	288
974	10828	277
975	10837	266
976	10848	255
977	10863	244
978	10871	233
979	10882	222
980	10903	211
981	10915	200
982	10932	189
983	10944	177
984	10955	166
985	10966	155
986	10976	144
987	10988	133
988	10995	122
989	11003	111
990	11005	99
991	11010	88
992	11013	77
993	11018	66
994	1102995	11040	995996	11055	996997	11999	11067	0
1061	998999	11064	999	11052	0
